"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","iso_country","iso_region","municipality"
"123","BIKF","large_airport","Keflavik International Airport","63.985001","-22.6056","171","IS","IS-2","Reykjavík"
"2155","EBBR","large_airport","Brussels Airport","50.901401519800004","4.48443984985","184","BE","BE-BRU","Brussels"
"2301","EETN","large_airport","Lennart Meri Tallinn Airport","59.41329956049999","24.832799911499997","131","EE","EE-37","Tallinn"
"2307","EFHK","large_airport","Helsinki Vantaa Airport","60.3172","24.963301","179","FI","FI-18","Helsinki"
"2385","EGAA","large_airport","Belfast International Airport","54.6575012207","-6.2158298492399995","268","GB","GB-NIR","Belfast"
"2513","EHAM","large_airport","Amsterdam Airport Schiphol","52.308601","4.76389","-11","NL","NL-NH","Amsterdam"
"2533","EIDW","large_airport","Dublin Airport","53.421299","-6.27007","242","IE","IE-D","Dublin"
"2541","EKBI","large_airport","Billund Airport","55.7402992249","9.15178012848","247","DK","DK-83","Billund"
"2563","ELLX","large_airport","Luxembourg-Findel International Airport","49.6233333","6.2044444","1234","LU","LU-L","Luxembourg"
"2570","ENBR","large_airport","Bergen Airport, Flesland","60.2934","5.21814","170","NO","NO-46","Bergen"
"2608","EPGD","large_airport","Gda?sk Lech Wa??sa Airport","54.377601623535156","18.46619987487793","489","PL","PL-PM","Gda?sk"
"2648","ESGG","large_airport","Gothenburg-Landvetter Airport","57.662799835205","12.279800415039","506","SE","SE-Q","Gothenburg"
"2758","EVRA","large_airport","Riga International Airport","56.92359924316406","23.971099853515625","36","LV","LV-RIX","Riga"
"2766","EYVI","large_airport","Vilnius International Airport","54.634102","25.285801","648","LT","LT-VL","Vilnius"
"3077","GCFV","large_airport","Fuerteventura Airport","28.4527","-13.8638","85","ES","ES-CN","Fuerteventura Island"
"3972","LATI","large_airport","Tirana International Airport Mother Teresa","41.4146995544","19.7206001282","126","AL","AL-11","Tirana"
"3974","LBBG","large_airport","Burgas Airport","42.56959915161133","27.515199661254883","135","BG","BG-02","Burgas"
"3993","LDZA","large_airport","Zagreb Airport","45.7429008484","16.0687999725","353","HR","HR-21","Zagreb"
"4060","LFBD","large_airport","Bordeaux-Mérignac Airport","44.8283","-0.715556","162","FR","FR-NAQ","Bordeaux/Mérignac"
"4251","LGAV","large_airport","Athens Eleftherios Venizelos International Airport","37.936401","23.9445","308","GR","GR-A1","Athens"
"4296","LHBP","large_airport","Budapest Liszt Ferenc International Airport","47.42976","19.261093","495","HU","HU-PE","Budapest"
"4318","LICC","large_airport","Catania-Fontanarossa Airport","37.466801","15.0664","39","IT","IT-82","Catania"
"4386","LJLJ","large_airport","Ljubljana Jože Pu?nik Airport","46.223701","14.4576","1273","SI","SI-061","Ljubljana"
"4408","LKPR","large_airport","Václav Havel Airport Prague","50.1008","14.26","1247","CZ","CZ-PR","Prague"
"4427","LMML","large_airport","Malta International Airport","35.857498","14.4775","300","MT","MT-25","Valletta"
"4434","LOWW","large_airport","Vienna International Airport","48.110298","16.5697","600","AT","AT-9","Vienna"
"4448","LPFR","large_airport","Faro Airport","37.0144004822","-7.96590995789","24","PT","PT-08","Faro"
"4482","LROP","large_airport","Henri Coand? International Airport","44.5711111","26.085","314","RO","RO-B","Bucharest"
"4490","LSGG","large_airport","Geneva Cointrin International Airport","46.23809814453125","6.108950138092041","1411","CH","CH-GE","Geneva"
"4573","LWSK","large_airport","Skopje International Airport","41.961601","21.621401","781","MK","MK-004","Skopje"
"4610","LYBE","large_airport","Belgrade Nikola Tesla Airport","44.8184013367","20.3090991974","335","RS","RS-00","Belgrade"
"4613","LYPG","large_airport","Podgorica Airport / Podgorica Golubovci Airbase","42.359402","19.2519","141","ME","ME-16","Podgorica"
"4617","LZIB","large_airport","M. R. Štefánik Airport","48.17020034790039","17.21269989013672","436","SK","SK-BL","Bratislava"
"6467","UKBB","large_airport","Boryspil International Airport","50.345001220703125","30.894699096679688","427","UA","UA-32","Kiev"
"6501","UMMS","large_airport","Minsk National Airport","53.888071","28.039964","670","BY","BY-MI","Minsk"
"42924","RU-0035","large_airport","Grozny North Airport","43.388302","45.698601","548","RU","RU-CE","Grozny"
"301881","EDDB","large_airport","Berlin Brandenburg Airport","52.351389","13.493889","157","DE","DE-BR","Berlin"
